Alimento,Energia (kcal),Energia (kJ)
"Fagioli, Borlotti, freschi",143,597
"Fagioli, Borlotti, freschi, cotti, bolliti",78,325
"Fagioli, Borlotti, in scatola, scolati",102,426
"Fagioli, Borlotti, secchi",312,1307
"Fagioli, Borlotti, secchi, cotti, bolliti",106,446
"Fagioli, Cannellini in scatola, scolati",86,359
"Fagioli, Cannellini, secchi",314,1313
"Fagioli, Cannellini, secchi, cotti, bolliti",107,448
"Fagioli, cotti, bolliti",117,491
"Fagiolini a corallo, cotti, bolliti",31,129
"Fagiolini, freschi",24,101
"Fagiolini, surgelati, cotti, bolliti",31,129
Falafel,198,828
"Faraona, coscio, con pelle, crudo",133,554
"Faraona, coscio, senza pelle, cotto, allo spiedo",194,810
"Faraona, coscio, senza pelle, crudo",127,531
"Faraona, petto, senza pelle, cotto, allo spiedo",146,611
"Faraona, petto, senza pelle, crudo",121,506
Farina d'avena,378,1582
Farina di castagne,318,1330
"Farina di frumento, duro",330,1380
"Farina di frumento, integrale",313,1311
"Farina di frumento, tipo 0",321,1345
"Farina di frumento, tipo 00",323,1352
Farina di mais,341,1426
Farina di manioca,332,1389
Farina di riso,332,1390
Farina di segale,342,1429
Farina di soia,469,1962
Farina d'orzo,333,1393
"Farro perlato, cotto, bollito",178,744
"Farro perlato, crudo",353,1476
"Fave, fresche",51,215
"Fave, fresche, cotte, in padella",61,253
"Fave, secche",331,1387
"Fave, secche, sgusciate, cotte, bollite",146,610
"Fave, secche, sgusciate, crude",343,1434
Fecola di patate,346,1447
Fegato di bovino,142,593
"Fegato di bovino, cotto",190,793
Fegato di equino,145,609
Fegato di ovino,135,565
Fegato di pollo,154,642
"Fegato di pollo, cotto",192,802
Fegato di suino,140,586
"Fegato di suino, cotto",183,764
Fegato di tacchino,127,532
"Fegato di tacchino, cotto",195,818
"Feijoa, fresca",59,247
Feta,250,1045
Fette biscottate,387,1621
"Fette biscottate, integrali",394,1648
"Fichi d'india, freschi",63,263
"Fichi, canditi",294,1232
"Fichi, freschi",63,262
"Fichi, seccati al forno e mandorlati",305,1275
"Fichi, secchi",282,1179
"Finocchi, cotti, al microonde",15,62
"Finocchi, cotti, bolliti",17,72
"Finocchi, crudi",15,62
Fiocchi d'avena,367,1534
Fiocchi di formaggio magro,115,480
Fior di latte,268,1120
"Fiori di zucca, freschi",18,75
"Foglie di rapa, crude",27,112
Fontina,361,1511
Formaggino,309,1295
Formaggino con ridotto contenuto di grasso,239,999
Formaggio cremoso spalmabile,313,1311
"Formaggio cremoso spalmabile, light",179,749
Formaggio molle da tavola,377,1578
"Fragole, fresche",30,127
Frittata,185,774
Frittata prosciutto e formaggio,205,856
Frumento duro,332,1389
Frumento tenero,336,1408
Frutta mista caramellata,217,909
"Funghi coltivati, pleurotes, cotti, in padella",35,148
"Funghi coltivati, pleurotes, crudi",37,156
"Funghi coltivati, prataioli, cotti, in padella",46,192
"Funghi coltivati, prataioli, crudi",24,101
"Funghi ovuli, crudi",23,95
"Funghi porcini, crudi",31,128
"Gallina, crudo",194,813
Gamberetti con funghi e bambù,110,460
Gamberi,71,296
"Gamberi sgusciati, surgelati",85,356
Gateau,156,653
"Gelato confezionato, biscotto con crema, zabaione e cioccolato",271,1134
"Gelato confezionato, cacao, in vaschetta",173,725
"Gelato confezionato, caffè, in vaschetta",245,1025
"Gelato confezionato, cono con panna e cioccolato",291,1217
"Gelato confezionato, cono con panna, scaglie di cioccolato e noccioline",326,1365
"Gelato confezionato, fior di latte, in vaschetta",218,911
"Gelato confezionato, fior di latte, ricoperto di sorbetto alla fragola",101,422
"Gelato confezionato, ghiacciolo all'arancio",137,573
"Gelato confezionato, nocciola, in vaschetta",183,767
"Gelato confezionato, panna ricoperta di cioccolato fondente",316,1324
"Gelato confezionato, panna, in vaschetta",189,789
"Gelato confezionato, sorbetto al limone, in vaschetta",132,552
"Gelato confezionato, stracciatella, in vaschetta",193,806
"Gelato confezionato, vaniglia, in vaschetta",167,701
Gelato misto fritto,252,1055
Germe di frumento,378,1582
Germogli di soia,54,227
Gnocchi al pesto alla genovese,186,777
Gnocchi al ragù alla bolognese,175,732
Gnocchi al sugo di pomodoro,112,467
"Gnocchi di patate, cotti",147,615
"Gnocchi di patate, crudi",164,687
"Gomme da masticare, lastrine e confetti",262,1098
Gorgonzola,324,1356
"Grana Padano, DOP",392,1641
"Granchio, in scatola",81,337
Grano saraceno,329,1376
Grappa,242,1014
Grissini,421,1763
Groviera,417,1744
"Guava, fresca",31,131
Halibut,114,477
"Hamburger piccolo, solo carne, fast food",264,1103
"Hamburger, fast food",251,1051
Hummus,168,704
"Indivia, fresca",20,82
Involtini Primavera,238,997
Italico,316,1323
Kebab solo carne,269,1126
"Ketchup, salsa",100,420
"Kiwi, freschi",48,202
"Lamponi, freschi",49,203
Lardo,891,3728
Lasagna,196,819
Lattarini,145,606
Latte di bufala,114,475
Latte di capra,76,320
Latte di pecora,103,430
"Latte di vacca, condensato, zuccherato",328,1371
"Latte di vacca, evaporato, non zuccherato",134,561
"Latte di vacca, in polvere, intero",484,2027
"Latte di vacca, in polvere, parzialmente scremato",418,1748
"Latte di vacca, in polvere, scremato",351,1470
"Latte di vacca, pastorizzato, intero",64,268
"Latte di vacca, pastorizzato, parzialmente scremato",46,194
"Latte di vacca, pastorizzato, scremato",36,151
"Latte di vacca, UHT, intero",63,265
"Latte di vacca, UHT, parzialmente scremato",46,194
Latteria,456,1906
"Lattuga, a cappuccio, fresca",22,91
"Lattuga, da taglio, fresca",17,69
"Lattuga, fresca",22,92
"Lattughino IV gamma, fresco",16,66
"Lattughino, fresco",16,68
Lenti colorate ripiene di cioccolato,456,1909
"Lenticchie, in scatola, scolate",91,379
"Lenticchie, secche",319,1335
"Lenticchie, secche, cotte, bollite",109,456
"Lievito di birra, compresso",70,293
"Limoni, freschi",16,65
"Limoni, succo",10,43
Lingua di bovino,232,970
"Lingua di bovino, cotta, fritta",309,1293
Liquori da dessert,314,1314
"Litchi, freschi",72,303
"Loti o kaki, freschi",70,293
Luccio,81,337
"Lumaca, cruda",67,280
"Lupini, ammollati",119,500
Macadamia,751,3143
Maiale in agrodolce,233,973
"Maiale, bistecca, cotto, in padella",187,783
"Maiale, bistecca, crudo",157,658
"Maiale, coscio, crudo",110,459
"Maiale, lombo, crudo",146,610
"Maiale, pesante, coscio, crudo",127,533
"Maiale, pesante, lombo, crudo",172,721
"Maiale, pesante, spalla, crudo",156,653
"Maiale, spalla, crudo",133,555
"Maionese, artigianale",660,2761
"Maionese, industriale",655,2741
Mais,357,1492
"Mais, amido",328,1370
"Mais, dolce, in scatola, sgocciolato",105,439
"Mandaranci, freschi",57,240
"Mandarini, freschi",76,317
"Mandorle dolci, secche",628,2629
"Mango, fresco",56,235
"Margarina, 100% vegetale",760,3179
"Margarina, 2/3 di grassi animali, 1/3 di grassi vegetali",760,3181
Marmellata,227,948
Marsala all'uovo,150,629
Marsala tipico,203,850
Mascarpone,455,1902
"Melagrane, fresche",68,284
"Melanzane, cotte, al microonde",23,96
"Melanzane, cotte, in padella",39,164
"Melanzane, crude",23,94
"Mele cotogne, fresche",38,157
"Mele, disidratate",356,1491
"Mele, fresche, annurche",45,187
"Mele, fresche, con buccia",44,182
"Mele, fresche, deliziose",46,194
"Mele, fresche, golden",46,193
"Mele, fresche, granny smith",42,176
"Mele, fresche, imperatore",48,200
"Mele, fresche, renette",43,180
"Mele, fresche, senza buccia",57,240
"Melone, d'estate, fresco",34,143
"Melone, d'inverno, fresco",24,99
Melù o pesce molo,72,303
"Melù o pesce molo, stoccafisso, ammollato",92,385
"Melù o pesce molo, stoccafisso, secco",356,1490
"Menta, fresca",49,205
"Merendine, con marmellata, industriale",364,1524
"Merendine, farcite con cacao, industriale",410,1716
"Merendine, tipo briosche, industriale",440,1839
"Merendine, tipo pan di Spagna, industriale",386,1613
"Merendine, tipo pasta frolla, industriale",447,1872
Merluzzo in umido,86,358
Merluzzo o nasello,71,296
"Merluzzo o nasello, baccalà, ammollato",95,399
"Merluzzo o nasello, baccalà, secco",131,549
"Merluzzo o nasello, bastoncini di pesce, surgelati",191,800
"Merluzzo o nasello, surgelato",75,312
"Merluzzo o nasello, surgelato, cotto, al microonde",107,449
"Merluzzo o nasello, surgelato, cotto, in forno",78,327
"Merluzzo o nasello, surgelato, filetti",68,284
Miele,304,1270
Miglio,343,1434
"Miglio, decorticato",342,1432
Milza di bovino,107,449
"Minestre in scatola, crema di asparagi",26,109
"Minestre in scatola, crema di cipolle",26,109
"Minestre in scatola, crema di funghi",56,233
"Minestre in scatola, crema di pollo",58,242
"Minestre in scatola, crema di pomodori",36,151
Minestrone liofilizzato,298,1247
"Minestrone, cotto",45,188
"Mirtilli, freschi",49,207
Mora di rovo,42,176
Mormora,97,404
Mortadella Bologna IGP,288,1204
Mortadella di bovino e suino,388,1624
Mozzarella di bufala,288,1205
Mozzarella di bufala campana DOP,257,1075
Mozzarella di vacca,253,1058
Muesli,374,1567
Nachos,512,2140
"Nespole, fresche",32,135
"Nocciole, secche",671,2808
Noci,589,2464
Noci pecan,723,3027
"Noci, secche",702,2936
Nuvole di gamberi,559,2339
"Oca, crudo",373,1560
Occhiata,117,489
Olii vegetali,899,3762
Olio di arachide,899,3762
Olio di cocco,899,3762
Olio di colza,899,3762
Olio di fegato di merluzzo,899,3762
Olio di germe di grano,899,3762
Olio di girasole,899,3762
Olio di mais,899,3762
Olio di mandorle dolci,899,3762
Olio di oliva,899,3762
Olio di oliva extra vergine,899,3762
Olio di palma,899,3762
Olio di sesamo,899,3762
Olio di soia,899,3762
Olio di vinacciolo,899,3762
Oliva Giarraffa,192,801
Oliva Nocellara del Belice,211,884
Olive da tavola conservate,277,1157
"Olive, nere",243,1017
"Olive, verdi",148,619
"Olive, verdi, in salamoia",113,473
"Orata fresca d'allevamento, filetti",159,665
"Orata fresca, filetti",121,505
"Orata, surgelata",94,392
Orzo perlato,346,1447
"Orzo perlato, cotto, bollito",118,495
Ostrica,69,289
Pagello,101,423
Pagello bocca d'oro,118,495
Palombo,80,333
Pan di Spagna,275,1153
Pancetta arrotolata,530,2219
Pancetta magretta,314,1316
Pancetta tesa,337,1408
Pane al malto,278,1163
Pane azzimo,365,1528
Pane bianco,268,1120
Pane di segale,228,954
Pane di tipo integrale,224,938
Pane di tipo semintegrale,239,1001
Pane formato rosetta,275,1152
Panettone,337,1409
Pangrattato,357,1496
Panini al latte,298,1249
Panini all'olio,288,1204
"Panino con hamburger piccolo, fast food",254,1061
"Panino, fast food",248,1036
"Panna da cucina, sterilizzata, 23% di lipidi",233,974
"Panna da montare, 35% di lipidi",337,1410
"Papaia, fresca",33,138
Pappa reale,146,613
Parmigiana di melanzane,242,1011
Parmigiano Reggiano DOP,397,1661
"Passiflora, fresca",64,267
"Pasta aglio, olio e peperoncino",190,795
Pasta al pesto alla genovese,175,732
Pasta al ragù alla bolognese,168,703
Pasta al sugo di pomodoro,113,472
Pasta alla amatriciana,241,1007
Pasta alla carbonara,245,1024
Pasta alle vongole,157,657
"Pasta all'uovo, secca",346,1449
"Pasta all'uovo, secca, cotta, bollita",123,516
Pasta burro e parmigiano,184,769
Pasta cacio e pepe,167,699
Pasta di mandorle,455,1904
Pasta di semola,341,1426
"Pasta di semola, cotta, bollita",175,731
"Pasta di semola, integrale",330,1382
"Pasta di semola, integrale, cotta, bollita",182,763
Pasta e fagioli,116,485
Pasta integrale al sugo di pomodoro,132,554
Pastiera,295,1235
"Patate novelle, cotte, al microonde",72,303
"Patate novelle, cotte, bollte",68,285
"Patate novelle, crude",72,303
"Patate, con buccia, cotte, bollite",88,367
"Patate, cotte, al microonde",88,367
"Patate, cotte, arrosto",152,636
"Patate, crude",72,303
"Patate, fritte",192,805
"Patate, senza buccia, cotte, bollite",74,310
"Patatine, fritte, confezionate in busta",512,2142
"Patatine, fritte, fast food",283,1184
Patè di coniglio,346,1447
Patè di fegato,341,1427
Patè di pollo,289,1208
Patè di prosciutto,358,1498
"Pecora, solo tessuto muscolare, crudo",121,506
Pecorino,404,1690
Pecorino romano,409,1710
Pecorino siciliano,427,1787
Pepe nero,311,1301
"Peperoncini piccanti, freschi",30,125
"Peperoni, cotti, in padella",143,598
"Peperoni, crudi",26,108
"Peperoni, gialli, cotti, al microonde",41,172
"Peperoni, gialli, crudi",35,145
"Peperoni, rossi e gialli, crudi",35,147
"Peperoni, rossi, cotti, al microonde",42,177
"Peperoni, rossi, crudi",34,144
"Peperoni, verdi, crudi",31,129
"Pere, candite",294,1229
"Pere, fresche, Abate Fetel",59,246
"Pere, fresche, Coscia",42,176
"Pere, fresche, Kaiser",48,200
"Pere, fresche, Max-Red Barlett",50,209
"Pere, fresche, senza buccia",43,179
"Pere, fresche, William",52,216
Pesce gatto,92,387
"Pesche, disidratate",364,1524
"Pesche, fresche, con buccia",28,119
"Pesche, fresche, senza buccia",30,126
"Pesche, sciroppate",56,236
"Pesche, secche",280,1173
"Peschenoci, fresche",36,150
Pesto alla genovese,250,1044
"Piccione giovane, crudo",138,577
Pinoli,604,2528
"Piselli, freschi",64,269
"Piselli, freschi, cotti, in padella",104,434
"Piselli, in scatola, scolati",78,328
"Piselli, secchi",317,1326
"Piselli, surgelati",61,256
Pistacchi,629,2631
Pistacchio di Bronte DOP,595,2491
Pizza bianca,306,1282
Pizza con pomodoro,248,1037
Pizza con pomodoro e mozzarella,255,1067
Pizza Napoletana Margherita STG,235,982
Polenta al ragù alla bolognese,114,479
Polenta al sugo di pomodoro,73,305
"Polenta, cotta",73,303
"Polenta, cruda",323,1353
Pollo all'ananas,126,527
Pollo alle mandorle,182,762
"Pollo, ala, con pelle, cotta, al forno",283,1186
"Pollo, ala, con pelle, crudo",196,818
"Pollo, fuso, con pelle, cotto, al forno",201,842
"Pollo, fuso, con pelle, crudo",125,523
"Pollo, fuso, senza pelle, cotto, al forno",175,734
"Pollo, fuso, senza pelle, crudo",107,449
"Pollo, intero, con pelle, cotto, al forno",200,838
"Pollo, intero, con pelle, cotto, arrosto",245,1027
"Pollo, intero, con pelle, crudo",171,717
"Pollo, intero, senza pelle, cotto, al forno",160,670
"Pollo, intero, senza pelle, cotto, arrosto",206,860
"Pollo, intero, senza pelle, crudo",110,460
"Pollo, petto, cotto, in padella",129,539
"Pollo, petto, crudo",100,420
"Pollo, sovracoscio, con pelle, cotto, al forno",219,918
"Pollo, sovracoscio, con pelle, crudo",196,818
"Pollo, sovracoscio, senza pelle, cotto, al forno",188,786
"Pollo, sovracoscio, senza pelle, crudo",132,550
Polmone di bovino,75,313
Polpo,57,237
Pomodori al riso,93,390
"Pomodori, conserva",100,417
"Pomodori, da insalata, freschi",19,80
"Pomodori, maturi, freschi",23,96
"Pomodori, Nerina, rossi, freschi",21,89
"Pomodori, Nerina, verdi, freschi",21,87
"Pomodori, passata",21,89
"Pomodori, pelati in scatola",22,94
"Pomodori, San Marzano, freschi",21,90
"Pomodori, succo",16,66
"Pomodorini ciliegino, freschi",37,155
"Pompelmo, fresco",29,121
Pop corn,408,1708
"Porri, cotti, bolliti",35,147
"Porri, crudi",35,145
"Prezzemolo, fresco",30,127
Prosciutto cotto,138,576
"Prosciutto cotto, alta qualità",182,762
"Prosciutto cotto, alta qualità, sgrassato",126,529
"Prosciutto cotto, scelto",155,649
"Prosciutto cotto, scelto, sgrassato",115,483
"Prosciutto cotto, sgrassato",107,446
Prosciutto crudo di montagna,303,1267
"Prosciutto crudo DOP, di Parma",269,1127
"Prosciutto crudo, di Modena DOP",309,1292
"Prosciutto crudo, di Modena DOP, sgrassato",201,842
"Prosciutto crudo, di Parma DOP, sgrassato",176,734
"Prosciutto crudo, di Pietraroja",358,1497
"Prosciutto crudo, di San Daniele DOP",271,1134
"Prosciutto crudo, di San Daniele DOP, sgrassato",176,736
"Prosciutto crudo, disossato",224,936
"Prosciutto crudo, disossato, sgrassato",159,664
"Prosciutto crudo, gambuccio",306,1282
"Prosciutto crudo, Nazionale",235,983
"Prosciutto crudo, Nazionale, sgrassato",169,707
Provolone,374,1564
"Prugne, fresche",45,189
"Prugne, gialle",30,127
"Prugne, rosse",45,190
"Prugne, secche",236,989
"Quaglia, crudo",161,674
"Quinoa, cotta, bollita",140,586
"Quinoa, cruda",376,1572
"Radicchio rosso di Treviso IGP, precoce",16,67
"Radicchio rosso di Treviso IGP, tardivo",16,68
Radicchio variegato di Castelfranco IGP,16,65
"Radicchio, rosso, fresco",19,77
"Radicchio, verde, fresco",14,59
Ragù alla bolognese,196,818
"Rana, crudo",64,267
"Rape, cotte, bollite",26,109
"Rape, crude",24,101
"Ravanelli, freschi",13,56
Ravioli al burro e salvia,238,995
Ravioli al sugo di pomodoro,135,564
Ravioli al vapore,270,1128
"Ravioli, cotti",177,739
"Ravioli, crudi, freschi",265,1109
Razza,68,283
Rene di bovino,118,494
"Ribes, freschi",52,216
Ricotta di bufala,212,885
Ricotta di pecora,157,658
Ricotta di vacca,146,613
Riso al ragù alla bolognese,145,608
Riso al sugo di pomodoro,90,377
"Riso Basmati, cotto, bollito",113,474
"Riso Basmati, crudo",367,1534
Riso burro e Parmigiano reggiano,144,601
Riso Cantonese,207,867
"Riso Venere, cotto, bollito",160,669
"Riso Venere, crudo",355,1484
"Riso, brillato",334,1397
"Riso, brillato, cotto, bollito",100,419
"Riso, integrale",341,1427
"Riso, integrale, cotto, bollito",113,471
"Riso, parboiled",338,1415
"Riso, parboiled, cotto, bollito",97,407
"Riso, soffiato, da prima colazione",354,1482
Risotto alla parmigiana,181,755
Robiola,338,1414
Rombo,81,341
"Rosmarino, fresco",110,460
"Rughetta o rucola, fresca",30,124
Salame Brianza,384,1608
Salame Fabriano,420,1759
Salame Felino,375,1569
Salame Milano,385,1610
Salame Napoli,378,1580
Salame nostrano,370,1547
Salame ungherese,420,1757
Salami italiani alla cacciatora DOP,411,1718
"Salmone, affumicato",147,613
"Salmone, fresco",185,776
"Salmone, in salamoia",192,802
Salpa,104,434
Salsiccia di Calabria,366,1532
Salsiccia di fegato,424,1773
"Salsiccia di suino, fresca",304,1273
"Salsiccia di suino, fresca, cotta, in padella",324,1354
"Salsiccia di suino, secca",514,2149
"Salvia, fresco",132,552
Sarago,97,407
Sarda,129,541
Sardine,225,943
"Sardine, fritte",324,1355
Sarmale,103,431
"Savoiardi, industriali",395,1651
Scaloppina di tacchino al limone,170,711
Scamorza,334,1398
Scarola,19,81
"Scarola IV gamma, fresca",17,71
Scorfano,82,342
"Sedano rapa, crudo",29,121
"Sedano, cotto, al microonde",24,100
"Sedano, crudo",23,97
Sego di bue,872,3647
Semola,346,1448
Seppia,72,302
Sgombro o maccarello,170,710
"Sgombro o maccarello, in salamoia",177,741
Sogliola,83,348
Sogliola al vino bianco,188,788
"Sogliola, surgelata",81,340
"Soia, bevanda",32,133
"Soia, isolato proteico",369,1545
"Soia, salsa",66,276
"Soia, secca",430,1800
"Soia, yogurt",72,303
Soppressata di Calabria,377,1577
Spaghetti fritti,165,692
Speck dell'Alto Adige IGP,299,1252
